Date,Ticker,Open,High,Low,Close,Volume,Daily Return (%),MA5,MA10
2026-06-08 00:00:00-04:00,CSCO,123.1,125.97,121.55,123.69,24288200,0.48,,
2026-06-09 00:00:00-04:00,CSCO,122.8,123.76,116.66,119.91,22744100,-2.35,,
2026-06-10 00:00:00-04:00,CSCO,119.27,120.5,117.92,118.36,19740500,-0.76,,
2026-06-11 00:00:00-04:00,CSCO,116.74,122.09,116.07,121.38,24625500,3.97,,
2026-06-12 00:00:00-04:00,CSCO,121.89,122.33,120.28,120.65,18222800,-1.02,120.798,
2026-06-15 00:00:00-04:00,CSCO,122.1,122.13,119.08,119.72,23148000,-1.95,120.00399999999999,
2026-06-16 00:00:00-04:00,CSCO,119.84,120.32,118.76,119.12,16644300,-0.6,119.846,
2026-06-17 00:00:00-04:00,CSCO,118.52,119.21,116.5,116.89,18472000,-1.38,119.55199999999999,
2026-06-18 00:00:00-04:00,CSCO,118.16,119.87,116.86,119.09,52284400,0.79,119.09400000000001,
2026-06-22 00:00:00-04:00,CSCO,119.15,121.63,119.15,121.08,20174100,1.62,119.17999999999999,119.989
2026-06-23 00:00:00-04:00,CSCO,118.1,121.88,117.21,120.7,22654400,2.2,119.376,119.68999999999998
2026-06-24 00:00:00-04:00,CSCO,120.12,122.43,118.59,119.28,21752900,-0.7,119.40799999999999,119.627
2026-06-25 00:00:00-04:00,CSCO,120.36,120.69,117.12,118.53,26918700,-1.52,119.73600000000002,119.644
2026-06-26 00:00:00-04:00,CSCO,116.74,116.74,112.44,113.35,51641400,-2.9,118.58800000000001,118.84100000000001
2026-06-29 00:00:00-04:00,CSCO,114.55,117.74,114.3,117.26,22447200,2.37,117.824,118.502
2026-06-30 00:00:00-04:00,CSCO,116.34,118.66,115.77,117.02,32465500,0.58,117.088,118.232
2026-07-01 00:00:00-04:00,CSCO,116.11,116.99,114.56,116.57,32016000,0.4,116.546,117.977
2026-07-02 00:00:00-04:00,CSCO,116.59,116.7,111.48,112.27,24251000,-3.71,115.29400000000001,117.51499999999999
2026-07-06 00:00:00-04:00,CSCO,113.05,115.48,112.68,113.98,22920000,0.82,115.42,117.00399999999999
2026-07-07 00:00:00-04:00,CSCO,112.79,114.03,111.67,111.79,16645700,-0.89,114.326,116.075
2026-06-08 00:00:00-04:00,DIS,98.76,99.08,97.66,98.12,7559200,-0.65,,
2026-06-09 00:00:00-04:00,DIS,98.3,99.33,97.76,98.57,8616300,0.27,,
2026-06-10 00:00:00-04:00,DIS,98.73,99.0,97.21,97.86,7041400,-0.88,,
2026-06-11 00:00:00-04:00,DIS,98.08,99.97,97.35,99.58,9264400,1.53,,
2026-06-12 00:00:00-04:00,DIS,100.29,101.0,98.78,99.28,8257200,-1.01,98.68199999999999,
2026-06-15 00:00:00-04:00,DIS,100.11,101.62,99.83,100.92,10265100,0.81,99.24199999999999,
2026-06-16 00:00:00-04:00,DIS,100.66,101.15,99.29,100.51,10694600,-0.15,99.63,
2026-06-17 00:00:00-04:00,DIS,99.9,101.58,99.68,100.09,11168700,0.19,100.076,
2026-06-18 00:00:00-04:00,DIS,101.03,103.43,100.03,103.1,22943600,2.05,100.78,
2026-06-22 00:00:00-04:00,DIS,102.62,103.52,100.74,101.67,17396300,-0.93,101.25800000000001,99.97
2026-06-23 00:00:00-04:00,DIS,101.24,103.25,101.03,102.74,14457400,1.48,101.622,100.43199999999999
2026-06-24 00:00:00-04:00,DIS,102.32,103.74,100.27,100.35,12215500,-1.93,101.59,100.61
2026-06-25 00:00:00-04:00,DIS,100.34,100.81,97.24,97.3,12054400,-3.03,101.032,100.554
2026-06-26 00:00:00-04:00,DIS,97.3,98.69,97.16,98.04,13921400,0.76,100.02,100.4
2026-06-29 00:00:00-04:00,DIS,98.95,99.28,97.75,97.88,10418100,-1.08,99.262,100.26
2026-06-30 00:00:00-04:00,DIS,97.41,97.6,95.99,96.25,12717800,-1.19,97.964,99.79299999999999
2026-07-01 00:00:00-04:00,DIS,96.55,97.76,95.65,95.71,11590400,-0.87,97.036,99.313
2026-07-02 00:00:00-04:00,DIS,96.4,99.52,95.77,99.5,11297800,3.22,97.476,99.25399999999999
2026-07-06 00:00:00-04:00,DIS,98.85,99.44,97.02,97.41,10171900,-1.46,97.35,98.685
2026-07-07 00:00:00-04:00,DIS,98.14,99.04,96.92,97.48,9929300,-0.67,97.27000000000001,98.26599999999999
2026-06-08 00:00:00-04:00,GOOGL,365.18,366.2,360.53,363.31,27942500,-0.51,,
2026-06-09 00:00:00-04:00,GOOGL,367.09,372.08,357.3,364.26,29535100,-0.77,,
2026-06-10 00:00:00-04:00,GOOGL,363.19,368.56,355.2,356.38,32357100,-1.88,,
2026-06-11 00:00:00-04:00,GOOGL,355.93,358.8,346.36,357.77,35538200,0.52,,
2026-06-12 00:00:00-04:00,GOOGL,362.62,366.57,354.94,359.68,24704600,-0.81,360.28000000000003,
2026-06-15 00:00:00-04:00,GOOGL,367.93,372.99,366.55,369.35,27727500,0.39,361.488,
2026-06-16 00:00:00-04:00,GOOGL,369.6,376.0,367.06,373.25,24876100,0.99,363.286,
2026-06-17 00:00:00-04:00,GOOGL,369.13,372.33,362.02,363.79,24543600,-1.45,364.768,
2026-06-18 00:00:00-04:00,GOOGL,365.75,369.48,358.67,368.03,44470100,0.62,366.82,
2026-06-22 00:00:00-04:00,GOOGL,357.95,358.92,341.72,349.68,52814800,-2.31,364.82000000000005,362.55
2026-06-23 00:00:00-04:00,GOOGL,340.69,349.29,340.2,346.13,34007700,1.6,360.17600000000004,360.832
2026-06-24 00:00:00-04:00,GOOGL,349.04,353.48,341.93,345.29,44997300,-1.07,354.584,358.935
2026-06-25 00:00:00-04:00,GOOGL,336.73,345.57,335.84,343.71,44491400,2.07,350.56800000000004,357.668
2026-06-26 00:00:00-04:00,GOOGL,342.55,346.36,330.2,337.39,114706300,-1.51,344.44,355.63
2026-06-29 00:00:00-04:00,GOOGL,341.83,354.35,340.67,353.65,34213900,3.46,345.23400000000004,355.027
2026-06-30 00:00:00-04:00,GOOGL,353.87,358.62,350.4,357.37,35237200,0.99,347.48199999999997,353.829
2026-07-01 00:00:00-04:00,GOOGL,358.37,362.97,356.43,361.21,26736400,0.79,350.666,352.625
2026-07-02 00:00:00-04:00,GOOGL,359.48,364.21,353.42,359.91,25974800,0.12,353.90599999999995,352.23699999999997
2026-07-06 00:00:00-04:00,GOOGL,361.55,367.93,357.38,366.46,26915800,1.36,359.71999999999997,352.08
2026-07-07 00:00:00-04:00,GOOGL,369.07,373.16,365.5,367.03,24008000,-0.55,362.39599999999996,353.815
2026-06-08 00:00:00-04:00,IBM,286.44,290.5,279.43,280.82,6790600,-1.96,,
2026-06-09 00:00:00-04:00,IBM,281.14,283.59,271.29,277.49,9007900,-1.3,,
2026-06-10 00:00:00-04:00,IBM,273.82,280.51,271.33,272.36,5497100,-0.53,,
2026-06-11 00:00:00-04:00,IBM,268.0,276.48,266.5,274.85,7558300,2.56,,
2026-06-12 00:00:00-04:00,IBM,278.94,278.94,267.68,272.24,5748900,-2.4,275.552,
2026-06-15 00:00:00-04:00,IBM,272.0,272.25,264.8,268.71,7178800,-1.21,273.13,
2026-06-16 00:00:00-04:00,IBM,270.87,276.62,268.61,270.81,4917600,-0.02,271.794,
2026-06-17 00:00:00-04:00,IBM,266.35,268.87,261.88,262.35,5537000,-1.5,269.79200000000003,
2026-06-18 00:00:00-04:00,IBM,251.38,252.47,243.68,249.1,16619700,-0.91,264.642,
2026-06-22 00:00:00-04:00,IBM,248.43,253.31,243.81,252.22,9615400,1.53,260.63800000000003,268.09499999999997
2026-06-23 00:00:00-04:00,IBM,261.58,267.53,255.26,264.94,15686100,1.28,259.884,266.50699999999995
2026-06-24 00:00:00-04:00,IBM,261.84,265.07,256.18,262.96,8149900,0.43,258.314,265.054
2026-06-25 00:00:00-04:00,IBM,267.67,268.76,256.0,258.27,8520700,-3.51,257.49799999999993,263.645
