Date,Ticker,Open,High,Low,Close,Volume
2026-06-09 00:00:00-04:00,INTC,112.99,114.0,99.46,107.92,149623100
2026-06-10 00:00:00-04:00,INTC,106.03,111.5,104.92,107.04,122653500
2026-06-11 00:00:00-04:00,INTC,113.52,119.44,110.51,116.96,188430300
2026-06-12 00:00:00-04:00,INTC,117.42,127.6,115.33,124.57,151169400
2026-06-15 00:00:00-04:00,INTC,129.49,132.61,126.66,127.86,134507500
2026-06-16 00:00:00-04:00,INTC,125.11,128.7,116.0,117.05,132962600
2026-06-17 00:00:00-04:00,INTC,121.85,125.2,118.06,121.1,115324900
2026-06-18 00:00:00-04:00,INTC,131.81,135.48,127.9,133.99,233906600
2026-06-22 00:00:00-04:00,INTC,139.12,141.45,136.21,140.94,127190600
2026-06-23 00:00:00-04:00,INTC,129.73,137.98,128.3,132.28,132976700
2026-06-24 00:00:00-04:00,INTC,133.05,136.08,127.95,131.65,104591700
2026-06-25 00:00:00-04:00,INTC,139.73,140.72,125.41,132.87,122588800
2026-06-26 00:00:00-04:00,INTC,128.71,131.23,125.5,128.32,99475400
2026-06-29 00:00:00-04:00,INTC,127.0,132.05,118.5,131.72,106805300
2026-06-30 00:00:00-04:00,INTC,131.99,142.35,131.52,139.63,116996700
2026-07-01 00:00:00-04:00,INTC,135.0,135.74,126.68,127.02,113107200
2026-07-02 00:00:00-04:00,INTC,128.92,130.74,117.63,120.35,124577600
2026-07-06 00:00:00-04:00,INTC,122.57,127.3,121.52,122.2,86950200
2026-07-07 00:00:00-04:00,INTC,116.3,116.47,108.3,110.39,139801400
2026-06-08 00:00:00-04:00,IBM,286.44,290.5,279.43,280.82,6790600
2026-06-09 00:00:00-04:00,IBM,281.14,283.59,271.29,277.49,9007900
2026-06-10 00:00:00-04:00,IBM,273.82,280.51,271.33,272.36,5497100
2026-06-11 00:00:00-04:00,IBM,268.0,276.48,266.5,274.85,7558300
2026-06-12 00:00:00-04:00,IBM,278.94,278.94,267.68,272.24,5748900
2026-06-15 00:00:00-04:00,IBM,272.0,272.25,264.8,268.71,7178800
2026-06-16 00:00:00-04:00,IBM,270.87,276.62,268.61,270.81,4917600
2026-06-17 00:00:00-04:00,IBM,266.35,268.87,261.88,262.35,5537000
2026-06-18 00:00:00-04:00,IBM,251.38,252.47,243.68,249.1,16619700
2026-06-22 00:00:00-04:00,IBM,248.43,253.31,243.81,252.22,9615400
2026-06-23 00:00:00-04:00,IBM,261.58,267.53,255.26,264.94,15686100
2026-06-24 00:00:00-04:00,IBM,261.84,265.07,256.18,262.96,8149900
2026-06-25 00:00:00-04:00,IBM,267.67,268.76,256.0,258.27,8520700
2026-06-26 00:00:00-04:00,IBM,258.94,273.14,258.28,271.63,9719900
2026-06-29 00:00:00-04:00,IBM,274.3,278.15,269.06,278.0,6464200
2026-06-30 00:00:00-04:00,IBM,273.21,282.57,271.12,281.21,7458400
2026-07-01 00:00:00-04:00,IBM,279.66,294.49,278.96,286.25,6905800
2026-07-02 00:00:00-04:00,IBM,283.14,290.93,282.28,289.52,5944100
2026-07-06 00:00:00-04:00,IBM,288.35,300.82,287.65,299.52,7181500
2026-07-07 00:00:00-04:00,IBM,305.66,311.8,300.49,306.13,8601500
2026-06-08 00:00:00-04:00,ORCL,217.75,219.06,209.33,211.82,17227200
2026-06-09 00:00:00-04:00,ORCL,213.91,220.5,197.79,205.81,26040700
2026-06-10 00:00:00-04:00,ORCL,198.5,212.48,198.18,201.26,46108300
2026-06-11 00:00:00-04:00,ORCL,179.67,184.77,175.28,184.1,63678500
2026-06-12 00:00:00-04:00,ORCL,185.01,185.58,179.0,184.13,29562300
2026-06-15 00:00:00-04:00,ORCL,187.39,195.32,186.21,192.64,20279900
2026-06-16 00:00:00-04:00,ORCL,190.01,195.32,187.66,188.33,16985500
2026-06-17 00:00:00-04:00,ORCL,186.16,190.19,182.58,183.53,16616600
2026-06-18 00:00:00-04:00,ORCL,183.01,187.99,177.7,184.29,31386100
2026-06-22 00:00:00-04:00,ORCL,182.31,184.58,174.4,175.07,22935400
2026-06-23 00:00:00-04:00,ORCL,170.23,174.33,164.61,165.16,33327900
2026-06-24 00:00:00-04:00,ORCL,162.48,165.75,155.35,157.53,38305000
2026-06-25 00:00:00-04:00,ORCL,157.35,157.62,150.36,152.46,36844400
2026-06-26 00:00:00-04:00,ORCL,150.26,153.54,148.0,148.53,36532100
2026-06-29 00:00:00-04:00,ORCL,153.94,154.5,145.2,147.76,34310300
2026-06-30 00:00:00-04:00,ORCL,147.25,149.93,144.48,146.55,35926900
2026-07-01 00:00:00-04:00,ORCL,144.49,147.55,142.5,142.5,45964000
2026-07-02 00:00:00-04:00,ORCL,143.3,147.06,138.83,140.27,44166700
2026-07-06 00:00:00-04:00,ORCL,144.3,145.62,141.16,143.76,36683000
2026-07-07 00:00:00-04:00,ORCL,143.72,145.56,137.55,141.6,47088000
